sentences,labels
OTIMO ATENDIMENTO,1
ATENCIOSO,0
LINK PARIR ACESSO REMOTO NAO FUNCIONAR   ATENDENTE    PASSAR  LINK PARIR  DIGITAR  BARRIR  ENDERECAR  NAVEGADOR,0
 INFORMAR    PROBLEMA  GENERALIZAR     ACESSO  INTERNET CONTINUAR INTERMITENTE    ,2
RAPIDO  EFICIENTE COMER    PARABENS   ANALISTA FRANCISCO MACIEL  ,1
RESOLVER RAPIDAMENTE,1
 CERTAR  RESOLVIDO ,1
 ANDAMENTO  CHAMAR      ABERTO  ATUALIZACAO  NAO  FEITO  NAO ADIANTAR           CASO ATRAPALHAR   VIDAR  EMPREGAR ,2
EXCELENTE ATENDIMENTO ,1
RAPIDO  EFICIENTE  EFICAZ   ,1
ATENDENTE PRESTATIVO ,1
OTIMO,1
INFORMADO   CONFIGURACAO  IMPRESSOR ,0
PARABENS  EQUIPAR  SAP  OTIMO ATENDIMENTO ,1
1X  OBRIGAR PELAR APOIAR  ,1
AGRADECO  PRONTO ATENDIMENTO  TECNICA  TI  OHANAGRATA  ANNA BRUNO ,1
OTIMO ATENDIMENTO ,1
OTIMO ATENDIMENTO ,1
ATENDIMENTO CORDIAL  RAPIDO ,1
LENTIDAO  PAGINAR NAO ABRIR  ,2
ATENDENTE GROSSA  ESTUPI   PACIENCIA  DESCULPE  FRANQUEZA   TRATAR COMER  IGINORANTE ,2
 ATENDENTE INFORMAR   EQUIPAR RESPONSAVEL MONITOR  IMPRESSOR  DEVER TOMAR  PROVIDENCIA    NAO    RESOLUCAO  SOLICITACAO ,0
EXCELENTE ATENDIMENTO ,1
ATENDIMENTO CORDIAL  RAPIDO ,1
,1
 CHAMAR NAO  RESOLVER  PRECISO  REALIZAR   RESIDENCIA,0
APESAR   NAO   PESSOA    APONTAMENTO  HORAR    APRESENTAR   INFORMACAO SOLICITAR PELAR ATENDENTE ATRAVES  SAP,2
PARABENIZO PELAR DEDICACAO  EFICIENCIA ,1
NOTA 10 PARIR  PESSOAL  TELEFONIA  ESPECIALMENTE PARIR  RUBEM F ANJOS ,1
ATENDENTE   RESOLVER  PROBLEMA  POREM  NAO  AGUARDAR    COMPROMISSO  HORARIO  ALMOCAR,0
GRATO,1
NAO APRESENTAR  ERRAR  ANTAR  FUNCIONOU NORMAL ,0
EXCELENTE ATENDIMENTO ,1
ATENDIMENTO RAPIDO  EFICIENTE   ,1
ATENDEU PLENAMENTE ,1
FALEI  4 ATENDENTES   SITUACAO NAO  RESOLVIDO   DESCRICAO  SOLICITACAO TAMBEM  INCORRETA  APESAR   EXPLICAR VARIOS VEZAR   COORDENADORA ANA ELISACXQ5   DELEGAR PELAR GERENTE EXECUTIVO  ABRE PARIR LIBERAR    VIAGEM   CASAR  INTERNACIONAL   IMPRETERIVELMENTE DEVIR  LIBERAR     VIAGEM  GERAR  CHAMAR INEXPLICAVELMENTE SO   LIBERAR PELAR GG    CORRETAR SERIAR PELAR COORDENADORA  GEX  COMER     REFINO ,2
EXCELENTE ATENDIMENTO,1
 INTERNET NAO  FUNCIONAR ADEQUADAMENTE   INFORMAR  EXISTIR  PROBLEMA  REDAR  POREM NAO  INFORMAR NENHUM PRAZO PARIR  SOLUCAO  PROBLEMA    PARECER NAO HAVER GESTAO  OCORRER PROBLEMA  CONEXAO  NAO  UMAR SITUACAO  COMECAR HOJE   HAVER EXPECTATIVA  SOLUCAO     MAU SERVICO ,2
 COMENTARIO,0
EXCELENTE  PRINCIPALMENTE  ATENDIMENTO PRESENCIAL   ,1
  ATENDIMENTO  ALTO 5742 MINUTO,2
RESOLVEU RAPIDO,0
  ATENDER ,1
  ATENDER ,1
DEMORAR PARIR  ATENDER     ESPERAR  LINHA,0
  PACIENTE,1
EXCELENTE ATENDIMENTO  APRESENTAR MAESTRIA  PROFISSIONALISMO PELAR FUNCIONARIO,1
EXCELENTE ATENDIMENTO,1
OTIMO ATENDIMENTO,1
 ARQUIVO PRJ00001023EVTREV0  REVA  REVB  PASTAR V TICCPTCSSTIPTBC  NP2  1PROJETOS  OGPRODEEM ANDAMENTOPRJ00004747  REDE  FIO PARIR  PIER  IMBETIBA2  PLANEJAMENTO1 EVT      BRANCO  NAO  ACHAR ARQUIVAR   INFORMACAO  PASTAR  BACKUP ,0
 FERRAMENTA  PROBLEMA  ENVIAR       ,0
SUPER EFICIENTE  EFICAZ  PARABENS,1
 PELAR PRONTO ATENDIMENTO  EFICIENCIA ,1
EXCELENTE  ATENDIMENTO  PRESTADOR  SERVICO   GENTIL  EFICIENTE  PARABENS,1
PARABENS  OBRIGAR PELAR PRONTO ATENDIMENTO  CORDIALIDADE ,1
 PELAR AGILIDADE  APOIAR  ,1
BOM ATENDIMENTO ,1
SUPORTE EFICIENTE,1
XCELENTE ATENDIMENTO ,1
 BOM  ATENDIMENTO  SOLUCIONAR   PROBLEMA,1
ATENDIMENTO RAPIDO  EFICAZ ,1
 PROBLEMA PERSSISTE   YOUR SYSTEM POLICY HAS DENIED ACCESS TO THE REQUESTED URL  ,2
DEPENDE  AUTORIZACAO SUPERIOR ,2
 ATENDENTE   PRESTATIVO  ATENDMENTO,1
RAPIDO  OTIMO ATENDIMENTO ,1
OTIMO ATENDIMENTO  SIMPLES  OBJETIVO,1
EXCELENTE ATENDIMENTO,1
SOLICITEI  TROCAR  TOCAR  APARELHAR    INFORMAR   DEVER ABRIR OUTRO CHAMAR ,2
APESAR  LONGO DEMORAR   ATENDENTE ROSANE NAO DESISTIR  RESOLVER  PROBLEMA  OBTER EXITO   ,0
ATENDIMENTO  BOM   ,1
NAO POSSUIR  INSTALACAO  IMPRESSOR HP OFFICEJET 8600 PULS,0
 FELIPE   PRESTATIVO  AGIL  AGRADECO  DISPONIBILIDADE D  ,1
INFORMADO   DEVER SOLICITAR   USUARIO C303  GERAR UMAR SOLICITACAO  881 ,0
EXCELENTE,1
FACO  ELOGIAR      EQUIPAR ,1
PARABENS PARIR  EQUIPE  TI ,1
 ATENDIDO  SATISFACAO,1
ATENDIMENTO EXCELENTE  COMER  ,1
OBRIGAR  ATENDIMENTO  PERFAZER  ATENDENTE  PERFAZER  TIRAR DUVIDAR  RESOLVER  PROBLEMA      PROFISSIONALISMO  PARABENS,1
OTIMO ATENDIMENTO ,1
 TESTE  REALIZAR   COBERTURA INICIALMENTE ESPECIFICAR   ,0
 INFORMAR   PATCH SUBIR   VERIFICAR   PROBLEMA  PERSISTIR ,0
 TESTE  REALIZAR   COBERTURA INICIALMENTE ESPECIFICAR   ,1
   ATENDIMENTO  RESPECTIVO CHAMAR   NECESSARIO  REALIZACAO  TRES CONTATOS     REALIZAR ACESSO REMOTO   MAQUINA   OCORRENCIA  PRINTADA  INFORMACAO COMER CHAVE  ASSISTENTE  FERIA  PONTUALMENTE REGISTRAR     SEGUNDAR  TERCEIRAR CONTATOS NAO POSSUIAM  INFORMACAO PREVIO  SOLICITACAO   MODO   ACESSO   RESSALVAR  INFORMACAO ANTERIOMENTE COMUNICAR  PRECISAR  REALIZAR  SUGERIMOS  VIABILIZACAO   ATENDIMENTO     AGIL  CONSIDERANDOSE  SOBRETUDO     PARIR RESOLUCAO  DEMANDAR  POSTERIOR NOTIFICACAO   CLIENTE SOLICITANTE ,2
CONTINUEM ,0
RESOLUCAO RAPIDO  PROBLEMA,0
  RESOLVER  PROBLEMA  HAVER  ATRASAR  QUASE 5 DIA PARIR RESOLUCAO  PROBLEMA   INFORMAR  URGENCIA  UTILIZACAO    APOS  ENTRAR  CONTATO  3 ATENDENTES ,2
DESTACAR ATENCAO  PRESTEZA  EQUIPAR  ATENDIMENTO  OTIMO SERVICO PRESTAR ,1
ATENDENTE EDUCAR  PROATIVO ,1
 DEMORAR   PARIR ATENDER   SOLICITACAO,2
 ATENDIMENTO CONSIDERO  SATISFEITO,1
EXCELENTE,1
 ,1
 ,1
 ,1
 ,1
 CHAMAR  RESOLVER  POREM NAO   SATISFATORIO  EXISTE  SOBREAVISAR     ACIONADO ,2
EXCELENTE ATENDIMENTO   FELIPE RESOLVER   PROBLEMA,1
EXCELENTE ATENDIMENTO,1
RAPIDO  EFICIENTE ATENDIMENTO   SOLICITAR  PARABENS,1
RESOLVEMOS  PROBLEMA PESQUISAR  TESTAR  REPETIR ACOES ATE DESCOBRIR    NAO  ACEITAR  MODIFICACAO INICIAL  MUDANCA  TITULAR  OPORTUNIDADE   NAO HAVER NECESSIDADE  RETORNAR  APRENDEMOS  LICAO    PROXIMO   BUSCAR CONFIRMAR  REALMENTE  OPORTUNIDADE  MODIFICAR CONFORMAR NECESSIDADE   ,0
OTIMO ATENDIMENTO,1
 TECNICO WAGNER MOSTRAR  EMPENHAR  RESOLVER  PROBLEMA ,1
 INFORMAR  PARIR REAIZACAO  SERVICO DEPENDER  UMAR AUTORIZACAO GERENCIAL ,0
 ASSISTENTE   ATENCIOSO  PRESTATIVO  COMPETENTE  SUAR ATIVIDADES ,1
 TECNICO   ATENDER   SALA   SOLICITO    NAO FICAR SATISFAZER   AUSENCIA  INFORMACAO   SEXTAFEIRA DIA 2407 ATE  2807  SO  INFOMADO    CONTATO    TELEFONAR ,1
 CHAMAR NAO  ATENDER  HORARIO SOLICITAR ,0
CHAMADO ATENDER  HORARIO   CONTENTAR ,1
ATENDIMENTO RAPIDO  PRECISAR,1
ATENDER,0
 ATENDIMENTO  TECNICO ALEXANDRE  TIC  REFAP MERECER  ELOGIAR ,1
TECNICO  ATENCIOSO   PERSISTENCIA  FUNDAMENTAL PARIR   PROBLEMA  RESOLVER ,1
  BOM  AGIL ,1
ATENDIMENTO REALIZAR  PRESTEZA ,1
OTIMO ATENDIMENTO  RAPIDO  EFETIVO ,1
 ATENDIMENTO  OTIMO   RESULTAR  IMEDIATO   COMUNICACAO  COLABORADOR  EXCELENTE ,1
ATENDIMENTO RAPIDO  OBJETIVO  ATENDENTE   CONHECIMENTO PLENO  SERVICO ,1
APESAR  ALGUM   VIR   ATENDENTES  ESPECIALMENTE  RENATA   EMPENHAR  CONSEGUIR DEIXAR  APLICATIVO FUNCIONAR PLENAMENTE ,1
PERDI  TEMPAO  LIGACAO     ATENDENTE CONSTATOU  NAO TINHA  RESOLVER  PASSOU  DEMANDA PRA OUTRO      ENTRARIA  CONTATO COMIGO  SO  ATE   ACONTECEU     NENHUM CONTATO  FEITO     CONTINUO    PROBLEMA  INSATISFEITO   ATENDIMENTO DISPENSADO,2
 VERDADE  NAO HAVER ATENDIMENTO ALGUM  NAO  CONTATADO  RESPEITAR  OPERO  APARELHO   NO026041   NAO  CONECTAR  CEF    NO00046687   NAO  PROBLEMA  CONEXAO       CRER     AJUSTAR SO  HOJE  CONTACTARME  PROBLEMA  POSTERIORMENTE  RECEBER HOJE  TARDAR UMAR MENSAGEM   SEGUINTE CONTEUDO   PREZADOA  CLIENTE       DEVIDO  UMAR ATUALIZACAO  SITE  CAIXA ECONOMICA FEDERAL   PROBLEMA PARIR ACESSALO   TIC  TRABALHAR PARIR DISPONIBILIZAR     PLUGIN  ACESSO  CONECTE       AGRADECEMOS  ATENCAO       ATENDIMENTO  SERVICOS TIC       NAO PRECISAR  ALTERACAO ALGUM    FUNCIONAR ,2
ATENDIMENTO DINAMICO  RAPIDO,1
 ATENDENTE  EDUCAR  PRESTATIVO     PROBLEMA NAO  SOLUCIONAR   SURPRESAR   ENCERRAMENTO D  SOLICITACAO    COMBINAR   OUTRO ATENDENTE IRIAR  LIGAR PARIR  CONTINUIDADE   ATENDIMENTO ,2
AGRADECO   SERVIDOR ENVOLVIDO  SOLICITACAO PELAR EMPENHAR  COMPETENCIA,1
 BOM ATENDIMENTO   MICRO  REINICIALIZADO   ARQUIVO RECUPERAR ,1
GOSTARIA  ELOGIAR  EXCELENTE ATENDIMENTO  ESPECIALISTA BRUNO FABIANO COUTINHO ALVES PELAR OTIMO ATENDIMENTO   REALIZAR  CORTEZIA  ATENCAO  EDUCACAO  ULTRAPASSAR  EXPECTATIVA  SOLUCAO  PROBLEMA  PARABENS BRUNO ,1
REGISTRO   ATENDIMENTO EXCELENTE    ASPECTO POSSIVEL   ENFASE  ESPECIAL   SIMPATIA  PROATIVIDADE  CORTESIA  ATENDENTE ,1
EXCELENTE,1
ATENDIMENTO EFICIENTE   RAPIDO  TECNICO  EXCELENTE ATENDIMENTO ,1
 OBRIGAR,1
EFICIENCIA  PARABENS ,1
GOSTARIA   AGRADECER   ATENDENTE DIEGO QUINTANILHA  PELAR EXCELENTE TRABALHAR PRESTAR   SUAR  PACIENCIA  EDUCACAO ,1
 ATENDENTE   GROSSO ,2
MICRO   PROBLEMA  APOS  VOLTAR  MANUTENCAO    RESOLVER  ,2
 PELAR RAPIDO ATENDIMENTO  JOSELI DRUMOND,1
 ATENDENTE  INFORMOU   UNICA   RECUPERAR  SENHA  ENVIANDO  SENHA TEMPORARIA   CHEFE  ACHEI   ABSURDO    NAO   EMPRESA    ESPERAR QUASE 3 HS  CHEGAR  PASSAR  SENHA  DURANTE    FIQUEI   ATRAPALHAR  ATRASOU   TRABALHO   TIC PRECISA REVE     GERENTE MUITAS  NAO   EMPRESA   FUNCIONARIO PRECISA TRABALHAR   CONTIINUIDADE  SERVICO   PRECISA VE    RECUPERAR  SENHA ,2
 ATENDIMENTO  RAPIDO ,1
SO  TROCADO  TONER    AMARELO CE252AC   TROCA  TONER ROSA  ,0
EXCELENTE,1
 INFORMAR    REALIZAR UMAR ATUALIZACAO  FERRAMENTA  ANALISE PM    APOS 1200HS SERIAR ATUALIZADO  CONFORME ORIENTACAO VERIFICAR  FERRAMENTA  ANALISE PM APOS  HORARIO    INDICADOR JA  ATUALIZADO ,0
NAO CONSEGUIR ENTRAR  MAQUINA   LOGIN,0
 OBRIGAR,1
EXCELENTE ATENDIMENTO,1
 RESOLVER  MIM   ADOTANDO OUTRO ALTERNATIVO    CHAMADO    ATENDER    ENCAMINHAR  MESA  SD 2000  OBTER  FEED BACK ,0
    ATENDIDO PELAR JOANA INACIA  PROFISSIONAL NOTO  ,1
ATENDIMENTO EXCEPCIONAL  PROATIVO,1
 CHAMAR  ATENDER  RAPIDAMENTE   EFICIENCIA   BOM ,1
 REPORTAR  PROBLEMA  ENVOLVER ACESSO  INTERNET  GERAR INTERMITENCIA  ACESSO,0
AGILIDADE  PRESTEZA  TECNICO  GRAU  CONHECIMENTO ALTISSIMO,1
 ATENDER  PRONTIDAO  RESPEITAR  AGRADECER  BOM VONTADE COSTUMEIRO ,1
TOTAL 110  BELO ATENDIMENTO,1
TECLADO  TROCAR,0
  ATENDIDO  COMER  ,1
 TECNICO ALEXANDRE  EXTREMAMENTE ATENCIOSO  RAPIDO    PARABEM ,1
RAPIDO  OBJETIVO  PACIENTE   HABILIDADE  PASSAR  CONTEUDO,1
SOLUCAO RAPIDA  EFICIENTE,1
ATENDIMENTO EXCELENTE    RECONHECER PELAR CORTESIA  COMPETENCIA ,1
ELOGIO  TECNICO EFICIENCIA  PROATIVIDADE  PARABENS ,1
AGRADECO  PRESTEZA  PROFISSIONAL RAPHAEL ,1
 INFORMAR   OPCAO CORRETAR SERIAR 3  2   NAO 9   SERVICO ,0
RESOLVIDO  PROBLEMA  SIMPLES ACAO  CLIENTE   APOIAR  881 ,0
PRONTO ATENDIMENTO   CAPACITACAO  PROFICIONAL ,1
RAPIDO  CORRETAR,0
APESAR  ATUALIZACAO   REALIZAR   ABRIR  FERRAMENTA  UTILIZAR  JAVA   PEDIR  ATUALIZACAO    IMPOSSIBILITAR     FERRAMENTA  GPO ,2
 BOM,0
   EXCELENTE ATENDIMENTO ,1
ATENDEU  CHADO  RAPIDEZ,1
OTIMO ATENDIMENTO ,1
 ATENDENTE   SOLICITO  ATENDER  RESOLVER UMAR SERIE  DUVIDA ,1
PROGRAMA NECESSITAR  HOMOLOGACAO,0
 ATENDENTE INFORMAR   CRIACAO  CHAVE   FEITO PELAR BOTAO 881    REALIDADE  NAO  POSSIVEL   MIM  DURANTE  ATENDIMENTO RESOLVER OLHAR  DIPS  VIR   POSSIVEL SOLICITAR  DIP ,2
SO NAO  ESCLARECER  UTILIZAR  INTERNET EXPLORER  NAO  MOZILLA PARIR ABRIR  APLAT   NOTES ,0
 BOM ATENDIMENTO  REALIZOU INSTALACAO  CONFERIR  CORRETAR FUNCIONAMENTO   ,1
EXELENTE ATENDIMENTO  RAPIDO  EFICIENTE   ,1
ATENDENTE  EDUCAR  PACIENTE  EFICIENTE ,1
OTIMO ,1
 ANALISTA REALIZAR  ATENDIMENTO  FORMAR PRATICO  SUCINTO    HABILIDADE NECESSARIO  PARABENS ,1
 ATENDIMENTO  TIC      JA REALIZAR PROCEDIMENTO ANTERIOR  ALTERACAO  EXCLUSAO  PASTAR  DRIVE  REDAR  GERENCIA     RESPONSAVEL   ATIVIDADE    ORIENTAR  ENVIAR  EMAIL  CHAVE ESTRUTURAL SOLICITAR  ATENDIMENTO NECESSITAR  POREM   APOS RECEBER NOVAMENTE  ORIENTACAO   INFORMAR  NAO  ENVIAR  DEMANDAR PELAR CHAVE ESTRUTURAL    GERENTE   SUBSTITUTO          PROCEDIMENTO  SOLICITEI   DELEGAR GERENCIAL  EMPREGAR PROPRIO  REENVIAR  EMAIL       RECEBER  EMAIL  STIC  CONFORMAR ABAIXAR  INFORMAR   ALTERACAO  NOME  UMAR PASTAR   NIVEL NP2    REALIZAR  PROPRIO CAR      INFORMAR     PROPRIO CAR   CRIAR UMAR PASTAR  NIVEL NP2  RECEBER UMAR INFORMACAO  EXCLUSAO    ALTERACAO SO   REALIZAR PELAR STIC  ENTAO  ORIENTACAO    RECEBER  ABAIXAR   REALMENTE  ATENDIMENTO   RUIM  CARENTE  MELHORIA URGENTE                                  CARO DALMO RICARDO  SA SILVA        RELACAO  SOLICITACAO   ALTERACAO  DRIVE  REDE  V      INFORMAR   SOLICITACAO   FEITO PELAR CAR  ATRAVES  LINK  HTTPCARPETROBRASCOMBR,2
 OBRIGAR PELAR PRESTEZA  AJUDAR  EXCELENTE ,1
ATENDIMENTO OTIMO  TECNICO JULIO CESAR   ATENCIOSO  EDUCAR ,1
NAO  AVISAR   ARQUIVO SO   ACESSADOS     PETROBRAS     NOTEBOOK COORPORATIVO  ATRAVES  TOOK AUTORIZAR PELAR GERENCIA    NAO ATENDER TOTALMENTE   NECESSIDADE ,0
,1
 LIGACAO FICAR MUDO,0
 COMPUTADOR NAO POSSUIR  SOFTWARE JUNOS PULSE INSTALAR     MOTIVAR   SOLICITACAO  NAO  ATENDIDO ,2
 DIA   TI RESOLVER ALGUM      CASAR APOSENTAR  JA MORTO ,2
PARABENS PELAR BREVIDADE  RESOLUCAO  PROBLEMA ,1
PARABENS   TECNICO               ,1
PARABENS   TECNICO            ,1
HOJE CHEGAR  CEDER PARIR TERMINAR UMAR TAREFAR  NAO CONSEGUIR LIGAR  COMPUTADOR   IMEDIATO  PELAR 881  REGISTRAR  INCIDENTE ANTAR  0730   TRABALHAR  SALA     SALA  EQUIPAR  APOIAR   CONTATO PESSOAL PARIR  AGILIZAR  ATENDIMENTO  APESAR  EFICIENCIA  SERVICO   RAPIDEZ  SOLUCAO  ACHAR    ATENDIMENTO  DEMORAR  1 HORAR APROXIMADAMENTE   NAO HAVER CORTESIA    ATENDENTE       ATE   PRAZO  ATENDIMENTO NAO  DESCUMPRIR CLAUSULA CONTRATUAL  NAO  EXTRAPOLAR    DETERMINAR  POREM    CIRCUNSTANCIA CITAR  HORARIO CEDER  PROXIMIDADE   EQUIPAR  APOIAR   PENSAR      RAPIDO     OUTROSSIM   INCIDENTE SOBRAR     PRESENTAR AVALIACAO  NAO INFORMAR   ACONTECER  MAQUINA      PARIR RESOLVER      PERGUNTAR TAMBEM    ATENDENTE     MOTIVAR PELAR  INFORMAR  NAO HAVER CORTESIA     GRATO  JOSE L REBELO,2
ATENDIMENTO PRESTAR  EXECUTAR  MAXIMO EFICIENCIA,1
 ATENDIMENTO DEPENDER  AUTORIZACAO   ,0
 VERDADE   ANALISTA  TI  LIMITAR     TRATAR  UMAR INSTABILIDADE  REDAR     SEGUIR TRABALHAR PRECARIAMENTE   OUTRO COMPUTADOR  ATRAVES    POSSIVEL ACESSAR  INTERNET   COMER OCORRER    OUTRO MICRO    SETOR  EXCETO             ALGUM DIA        COMPUTADOR VOLTAR   NORMAL    NOTO MAXIMO   ATENDIMENTO ,0
ATENDIMENTO CORDIAL  ATENCIOSO,1
 NAO  ACESSANDO  PASTAR MANUTENCAO  LINHAS ,0
PARABENS   EQUIPAR TIC,1
   ATENDIDO  FUNCIONARIO ATENCIOSO  EFICIENTE       ,1
EXCELENTE ATENDIMENTO  CORTEZ  RAPIDO  PARABENS,1
 ATENDIMENTO DEMORAR QUASE UMAR HORAR PARIR CONSTATAR   PROBLEMA NAO  COMER  RESOLVER   CHAMAR ,2
ATENDENTE ATENCIOSA  EDUCADA,1
ATENDIMENTO RAPIDO  EFICIENTE ,1
 APOS  ABERTURA  SOLICITAR  ALTERACAO  NOME  EMPRESAR  JPNORENGENHARI PARIR SIMPLESMENTE JPNOR COMER   USUARIO D  EMPRESAR  NAO  REALIZAR ,2
EXCELENTE ATENDIMENTO,1
EXCELENTE ,1
 EXCELENTE TRABALHAR  OBRIGAR,1
EXCELENTE  ATENDIMENTO  OHANA ,1
ATENDIMENTO RAPIDO  PRECISAR ,1
NOTA 10,0
ATENDENTE  CORDIAL  RESOLVER  PROBLEMA RAPIDAMENTE ,1
EXCELENTE ATENDIMENTO   ATENDENTE EXPLICAR  DETALHE   DUVIDA     NOTA 1000 ,1
RESOLVIDO,0
 APOIAR   ATENCIOSO  EFICIENTE ,1
ATENDIMENTO PERFEITO PARABENS,1
EXCELENTE ATENDIMENTO  RAPIDO  EFICIENTE ,1
GRATO ,1
ATENDIMENTO  SATISFATORIO ,1
  DEMORAR     VELOCIDADE  REDAR    DEMANDAR   PARIR REALIZAR  ATUALIZACAO ,0
EFICIENTISSIMOS  COMER ,1
 PRONTAMENTE ATENDIDO,1
  ,1
 PRONTAMENTE ATENDIDO,1
EQUIPE  AGIL  EFICIENTE  ATENDIMENTO  S DEMANDAR ,1
PROBLEMAS   GPAS CONFORMAR  INFORMAR PELAR ATENDENTE  SOLICITAR PERFIL PARIR CARRO  COMPRAR ,0
BOM ATENDIMENTO,1
 PELAR PRONTO ATENDIMENTO  CONHECIMENTO TECNICO ,1
RAPIDO  EFICAZ ,1
AGRADECO  SERVIDOR PELAR PACIENCIA  PRESTATIVIDADE  COMPETENCIA  QUALIDADE  ATENDIMENTO  SERVICO ,1
FIQUEI   ARENDENTE QUASE  HORAR  DEVER    LIXAR   MICRO   NAO  SUFICIENTE PARIR EXECUCAO TOTAL  PROVAVELMENTE  MICRO    UMAR LIMPEZA COMER      SUGESTAO   VARIO MICRO    PROBLEMA  PLATAFORMA  DIFICILMENTE  CONDICAO  SOLICITAR  ACOMPANHAR    SERVICO  CHEGAR   IRRITANTE   D  MAQUINAR  SUGERIR EMBARCAR UMAR MAQUINAR RESERVAR   TECNICO PARIR  EXECUCAO D    SERVICO    UMAR   ANO  UNIDADES ,2
 OBRIGAR PELAR ATENDIMENTO IMEDIATO  ATC   JOICILENE CABRAL ,1
PARABENS PELAR COMPROMETIMENTO  PRESTEZA ,1
PROFISSIONAL EDUCAR  COMPROMETER  COMPETENTE,1
PARABENS ,1
EXCELENTE ATENDIMENTO  OHANA  PRESTATIVA  ATENCIOSO  INTERESSAR  RESOLVER  PROBLEMA ,1
OK,0
EXCELENTE ATENDIMENTO,1
EXCELENET,1
EXCELENTE ATENDIMENTO ,1
ATENDENTE  AMAVEL  EFICIENTE ,1
ATENDIMENTO RAPIDO  EFICAZ,1
LIGACAO  ENCERRAR   SOLICITACAO  USUARIO PARIR ATENDIMENTO  SOLICITACAO GERENCIAL,0
BOM  PRONTO ATENDIMENTO,1
MARCOS   COMER    GENTIL  SOLICITO  EXCELENTE ATENDIMENTO ,1
  DECLARAR,0
OTIMO ATENDIMENTO,1
PASSADO  NECESSIDADE  AJUSTAR   GESTOR  PROAR,0
ATENDENTE  ATENCIOSO  EDUCAR  ALEM  RESOLVER  PROBLEMA  FORMAR RAPIDO   DISPOS  SOLUCIONAR OUTRO DUVIDA ,0
 ATENDENTE  ATENCIOSO   SOLICITACAO NAO  COMER  ATENDIDO  PROBLEMA ALHEIO  VONTADE        NAO ATENDIMENTO TRAZER CONTRATEMPO PARIR REALIZACAO  TRABALHO  CONSULTO  DOCUMENTO    INFORMACAO EXTERNAR  PETROBRAS  PROJECTOOLS  ATRAVES  CITRIX UTILIZAR AVERSAO 9  IE   DISPONIVEL  CITRIX     NAO UTILIZAR  IE PARIR NADO ALEM D      IE11  PARIR   SERVIR ,2
OBSERVO   INSTALAR  VERSAO     LEIASE  HOMOLOGAR   NAVEGADOR FIREFOX  VERSAO 31 ESR     NAVEGADOR JA POSSUIR UMAR VERSAO 39  SUGIRO ATUALIZAREM  HOMOLOGACAO  GRATO  SDS ,0
EXCELENTE ATENDIMENTO  PARABENS ,1
ATENDENTE  CONHECIMENTO   PASSSANDO INFORMACAO ERRAR ,2
 CHAMAR  FECHAR   REALIZACAO  INSTALACAO  SOFTWARE ,2
EXCELENTE   ,1
CRIACAO RAPIDO ,0
OTIMO TRABALHAR ,1
ATENDENTE RAPIDO  OBJETIVA  GOSTAR  PARABEM  ,1
GOSTARIA  PARABENIZAR  PRESTADOR  SERVICO LUIS CLAUDIO ,1
EXCELENTE ATENDIMENTO,1
OTIMO ATENDIMENTO  ATENDENTE ALAN RUELA ,1
EXCELENTE ATENDIMENTO  TOTALMENTE SATISFATORIO ,1
EXCELENTE ,1
ATENDIMENTO RAPIDO  ,0
RAPIDO  OBJETIVO,0
OBRIGAR,1
FICOU FALTAR  ACESSO   CANAL  INTERNET,0
 PACIENTE  OTIMO ATENDIMENTO ,1
FIQUEI    TELEFONAR  NAO   PASSAR NENHMA INFORMACAO CONSISTENTE  COMER SOLUCIONAR  PROBLEMA ,2
EXCELENTE   ATENDIMENTO ,1
NAO RESOLVER  PROBLEMA ,2
ATENDIMENTO EXCELENTE  LEONARDO  RAPIDO ,1
EXCELENTE,1
RAPIDEZ  RESOLUCAO  PROBLEMA,1
OTIMO ATENDIMENTO ,1
 BOM,1
 OK   CHAMAR    DUVIDA  SANAR ,1
EXCELENTE ATENDIMENTO   ,1
EXCELENTE ATENDIMENTO   ,1
EXCELENTE ATENDIMENTO   ,1
EXCELENTE ATENDIMENTO   ,1
EXCELENTE ATENDIMENTO ,1
EXCELENTE ATENDIMENTO ,1
PREZADOS     SOLICITO   CONFIGURAR  SIGAME  RAMAL 8136848 PARIR   RAMAL 8136830  ATRAVES  TECOM  APOS   TOQUE        EXCELENTE ATENDIMENTO ,1
EXCELENTE ATENDIMENTO  ,1
EXCELENTE ATENDIMENTO   ,1
ALEM  ARQUIVAMENTO  RESOLVER TAMBEM PROBLEMA   REPLICACAO  CONTATO  FIQUEI  SATISFAZER ,1
PACIENCIA  TRANQUILIDADE  ATENDIMENTO ,1
ATENDIMENTO EXCELENTE  PARABENS ,1
EXCELENTE ATENDIMENTO  RAPIDO  OBJETIVO ,1
AGRADECIMENTOS  TECNICO CAROLINE PELAR APOIAR  SOLUCAO  PROBLEMA ,1
 OPERADOR  ATENDER  SOLICITACAO PRONTAMENTE  ATENDIMENTO  EFICIENTE ,1
ATENDIMENTO SATISFATORIO,1
OTIMO ATENDIMENTO,1
 ATENDER PELAR  SERVIDOR  ALTO NIVEL  CONHECIMENTO  PARABENS PARIR    FICAR 100  SATISFAZER ,1
ATENDIMENTO REALIZAR  RAPIDEZ ,1
 RAMAL VOLTAR  FUNCIONAR NORMALMENTE ,0
 INSTALAR  SOFTWARE PARIR LER ARQUIVO DXF  POREM NAO LER  ARQUIVO ,2
